Rank,Points
1,500
2,267.9433656
3,186.020529
4,143.5872944
5,117.4618943
6,99.68593324
7,86.77243172
8,76.94652583
9,69.20727442
10,62.94627059
11,57.7718916
12,53.42036892
13,49.70739311
14,46.5001948
15,43.70064743
16,41.23462221
17,39.04504926
18,37.08726007
19,35.32578029
20,33.73207119
21,32.2829073
22,30.95919015
23,29.74506703
24,28.62726688
25,27.59459323
26,26.63753241
27,25.7479476
28,24.91883739
29,24.14414364
30,23.41859711
31,22.73759255
32,22.09708691
33,21.49351567
34,20.92372382
35,20.38490841
36,19.87457057
37,19.39047521
38,18.93061693
39,18.49319112
40,18.07656937
41,17.67927834
42,17.29998167
43,16.93746436
44,16.59061921
45,16.25843511
46,15.93998674
47,15.63442567
48,15.34097247
49,15.05890981
50,14.78757637
51,14.52636144
52,14.27470017
53,14.03206933
54,13.79798348
55,13.57199165
56,13.35367432
57,13.14264067
58,12.93852622
59,12.74099056
60,12.54971546
61,12.36440303
62,12.18477415
63,12.01056699
64,11.84153568
65,11.67744911
66,11.51808986
67,11.36325315
68,11.21274596
69,11.06638621
70,10.92400193
71,10.78543065
72,10.65051866
73,10.5191205
74,10.39109838
75,10.26632166
76,10.14466643
77,10.02601504
78,9.910255741
79,9.797282303
80,9.686993672
81,9.579293666
82,9.47409068
83,9.371297415
84,9.270830628
85,9.172610899
86,9.076562411
87,8.982612746
88,8.890692699
89,8.8007361
90,8.712679645
91,8.626462748
92,8.542027391
93,8.45931799
94,8.37828127
95,8.298866141
96,8.221023594
97,8.144706587
98,8.069869956
99,7.996470312
100,7.924465962
101,7.853816824
102,7.784484348
103,7.716431444
104,7.649622416
105,7.584022891
106,7.519599764
107,7.456321137
108,7.394156263
109,7.333075496
110,7.273050242
111,7.214052913
112,7.15605688
113,7.099036436
114,7.042966751
115,6.987823839
116,6.933584521
117,6.880226391
118,6.827727783
119,6.776067742
120,6.725225994
121,6.675182918
122,6.625919523
123,6.577417418
124,6.529658791
125,6.482626387
126,6.436303484
127,6.390673875
128,6.345721847
129,6.30143216
130,6.257790034
131,6.214781128
132,6.172391525
133,6.130607716
134,6.089416586
135,6.048805399
136,6.008761783
137,5.969273721
138,5.930329532
139,5.891917866
140,5.854027688
141,5.816648269
142,5.779769174
143,5.743380253
144,5.70747163
145,5.672033698
146,5.637057102
147,5.602532739
148,5.568451745
149,5.534805486
150,5.501585557
151,5.468783765
152,5.436392131
153,5.404402878
154,5.372808426
155,5.341601387
156,5.310774555
157,5.280320906
158,5.250233589
159,5.220505918
160,5.191131375
161,5.162103595
162,5.133416371
163,5.10506364
164,5.077039486
165,5.049338133
166,5.021953939
167,4.994881396
168,4.968115121
169,4.941649859
170,4.915480472
171,4.889601941
172,4.864009361
173,4.838697938
174,4.813662983
175,4.788899913
176,4.764404249
177,4.740171607
178,4.716197701
179,4.692478338
180,4.669009416
181,4.64578692
182,4.622806925
183,4.600065584
184,4.577559137
185,4.5552839
186,4.533236267
187,4.511412707
188,4.489809763
189,4.46842405
190,4.44725225
191,4.426291114
192,4.405537461
193,4.384988172
194,4.36464019
195,4.344490522
196,4.324536232
197,4.304774444
198,4.285202337
199,4.265817147
200,4.246616162
201,4.227596724
202,4.208756226
203,4.190092111
204,4.171601872
205,4.153283047
206,4.135133224
207,4.117150033
208,4.099331152
209,4.081674299
210,4.064177237
211,4.046837769
212,4.029653738
213,4.012623028
214,3.995743561
215,3.979013296
216,3.96243023
217,3.945992395
218,3.929697858
219,3.913544721
220,3.897531121
221,3.881655225
222,3.865915235
223,3.850309382
224,3.83483593
225,3.819493172
226,3.804279431
227,3.789193057
228,3.774232431
229,3.759395959
230,3.744682076
231,3.730089242
232,3.715615945
233,3.701260696
234,3.687022031
235,3.672898512
236,3.658888724
237,3.644991274
238,3.631204793
239,3.617527935
240,3.603959375
241,3.590497809
242,3.577141955
243,3.563890551
244,3.550742355
245,3.537696146
246,3.52475072
247,3.511904895
248,3.499157506
249,3.486507405
250,3.473953464
251,3.461494573
252,3.449129636
253,3.436857576
254,3.424677334
255,3.412587864
256,3.400588138
257,3.388677143
258,3.376853882
259,3.365117373
260,3.353466646
261,3.34190075
262,3.330418744
263,3.319019704
264,3.307702718
265,3.296466888
266,3.28531133
267,3.27423517
268,3.26323755
269,3.252317622
270,3.241474553
271,3.23070752
272,3.220015711
273,3.209398328
274,3.198854582
275,3.188383698
276,3.177984908
277,3.167657459
278,3.157400606
279,3.147213615
280,3.137095763
281,3.127046335
282,3.117064628
283,3.107149948
284,3.09730161
285,3.087518939
286,3.07780127
287,3.068147945
288,3.058558316
289,3.049031744
290,3.039567598
291,3.030165256
292,3.020824104
293,3.011543537
294,3.002322956
295,2.993161773
296,2.984059404
297,2.975015275
298,2.96602882
299,2.95709948
300,2.948226701
301,2.939409939
302,2.930648656
303,2.921942321
304,2.913290409
305,2.904692403
306,2.896147793
307,2.887656073
308,2.879216745
309,2.870829319
310,2.862493307
311,2.854208231
312,2.845973617
313,2.837788997
314,2.829653911
315,2.8215679
316,2.813530516
317,2.805541313
318,2.797599852
319,2.789705699
320,2.781858424
321,2.774057605
322,2.766302822
323,2.758593663
324,2.750929719
325,2.743310587
326,2.735735867
327,2.728205166
328,2.720718095
329,2.713274268
330,2.705873307
331,2.698514835
332,2.691198481
333,2.683923878
334,2.676690664
335,2.669498481
336,2.662346973
